1,Summer,1992,Barcelona
2,Summer,2012,London
3,Summer,1920,Antwerpen
4,Summer,1900,Paris
5,Winter,1988,Calgary
6,Winter,1992,Albertville
7,Winter,1994,Lillehammer
8,Summer,1932,Los Angeles
9,Winter,2002,Salt Lake City
10,Summer,1952,Helsinki
11,Winter,1980,Lake Placid
12,Summer,2000,Sydney
13,Summer,1996,Atlanta
14,Summer,1912,Stockholm
15,Summer,1924,Paris
16,Winter,2014,Sochi
17,Summer,1948,London
18,Winter,1998,Nagano
19,Winter,2006,Torino
20,Summer,2008,Beijing
21,Summer,2016,Rio de Janeiro
22,Summer,2004,Athina
23,Winter,1960,Squaw Valley
24,Winter,1964,Innsbruck
25,Winter,1984,Sarajevo
26,Summer,1984,Los Angeles
27,Summer,1968,Mexico City
28,Summer,1972,Munich
29,Summer,1988,Seoul
30,Summer,1936,Berlin
31,Winter,1952,Oslo
32,Winter,1956,Cortina d'Ampezzo
33,Summer,1956,Melbourne
34,Summer,1960,Roma
35,Summer,1928,Amsterdam
36,Summer,1976,Montreal
37,Summer,1980,Moskva
38,Summer,1964,Tokyo
39,Winter,2010,Vancouver
40,Winter,1968,Grenoble
41,Summer,1906,Athina
42,Winter,1972,Sapporo
43,Winter,1976,Innsbruck
44,Winter,1924,Chamonix
45,Summer,1904,St. Louis
46,Winter,1928,Sankt Moritz
47,Summer,1908,London
48,Winter,1948,Sankt Moritz
49,Winter,1932,Lake Placid
50,Winter,1936,Garmisch-Partenkirchen
51,Summer,1896,Athina
52,Summer,1956,Stockholm
